order:    [ 1 10 20 0 2 4 5 6 9 11 14 15 16 19 21 24 25 26 29 30 31 34 35 36 32 33 3 37 38 7 8 12 13 17 18 22 23 27 28 ]
atoms:    [ CA CA CA N C N CA C N C N CA C N C N CA C N CA C N CA C H HA HA H HA H HA H HA H HA H HA H HA ]
residues: [ 0 2 4 0 0 1 1 1 2 2 3 3 3 4 4 5 5 5 6 6 6 7 7 7 6 6 0 7 7 1 1 2 2 3 3 4 4 5 5 ]

We use a different pair of symbles to represent the bits values which are associated with the HA and H of the discretized distance, and another one to represent the bits of other hydrogens.
For the HA and H from the discretized distance:
	"+" means 0
	"-" means 1
For any other hydrogens:
	">" means 0
	"<" means 1

d_0_10=7.511117496246 s=[ 0 0 0 0 0 0 1 1 1 0 0 0 1 1 0 0 0 1 1 1 1 1 1 1 < < < < < < < < < > < > < < < ]
7.511117496246 s=[ 0 0 0 0 0 0 1 1 1 0 0 0 1 1 0 0 0 1 1 1 1 1 1 1 > < < > > > < > < > < > < > < ]
7.511117496246 s=[ 0 0 0 0 0 0 1 1 1 0 0 0 1 1 0 0 0 1 1 1 1 1 1 1 > < < > > > < > < > < > < < < ]
7.511117496246 s=[ 0 0 0 0 0 0 1 1 1 0 0 0 1 1 0 0 0 1 1 1 1 1 1 1 > < < > > > < > < > < < < > < ]
7.511117496246 s=[ 0 0 0 0 0 0 1 1 1 0 0 0 1 1 0 0 0 1 1 1 1 1 1 1 > < < > > > < > < > < < < < < ]
7.511117496246 s=[ 0 0 0 0 0 0 1 1 1 0 0 0 1 1 0 0 0 1 1 1 1 1 1 1 > < < > > > < > < < < > < > < ]
7.511117496246 s=[ 0 0 0 0 0 0 1 1 1 0 0 0 1 1 0 0 0 1 1 1 1 1 1 1 > < < > > > < > < < < > < < < ]
7.511117496246 s=[ 0 0 0 0 0 0 1 1 1 0 0 0 1 1 0 0 0 1 1 1 1 1 1 1 > < < > > > < > < < < < < > < ]
7.511117496246 s=[ 0 0 0 0 0 0 1 1 1 0 0 0 1 1 0 0 0 1 1 1 1 1 1 1 > < < > > > < > < < < < < < < ]
7.511117496246 s=[ 0 0 0 0 0 0 1 1 1 0 0 0 1 1 0 0 0 1 1 1 1 1 1 1 > < < > > > < < < > < > < > < ]
7.511117496246 s=[ 0 0 0 0 0 0 1 1 1 0 0 0 1 1 0 0 0 1 1 1 1 1 1 1 > < < > > > < < < > < > < < < ]
7.511117496246 s=[ 0 0 0 0 0 0 1 1 1 0 0 0 1 1 0 0 0 1 1 1 1 1 1 1 > < < > > > < < < > < < < > < ]
7.511117496246 s=[ 0 0 0 0 0 0 1 1 1 0 0 0 1 1 0 0 0 1 1 1 1 1 1 1 > < < > > > < < < > < < < < < ]
7.511117496246 s=[ 0 0 0 0 0 0 1 1 1 0 0 0 1 1 0 0 0 1 1 1 1 1 1 1 > < < > > > < < < < < > < > < ]
7.511117496246 s=[ 0 0 0 0 0 0 1 1 1 0 0 0 1 1 0 0 0 1 1 1 1 1 1 1 > < < > > > < < < < < > < < < ]
7.511117496246 s=[ 0 0 0 0 0 0 1 1 1 0 0 0 1 1 0 0 0 1 1 1 1 1 1 1 > < < > > > < < < < < < < > < ]
7.511117496246 s=[ 0 0 0 0 0 0 1 1 1 0 0 0 1 1 0 0 0 1 1 1 1 1 1 1 > < < > > > < < < < < < < < < ]
7.511117496246 s=[ 0 0 0 0 0 0 1 1 1 0 0 0 1 1 0 0 0 1 1 1 1 1 1 1 > < < > > < < > < > < > < > < ]
7.511117496246 s=[ 0 0 0 0 0 0 1 1 1 0 0 0 1 1 0 0 0 1 1 1 1 1 1 1 > < < > > < < > < > < > < < < ]
7.511117496246 s=[ 0 0 0 0 0 0 1 1 1 0 0 0 1 1 0 0 0 1 1 1 1 1 1 1 > < < > > < < > < > < < < > < ]
7.511117496246 s=[ 0 0 0 0 0 0 1 1 1 0 0 0 1 1 0 0 0 1 1 1 1 1 1 1 > < < > > < < > < > < < < < < ]
7.511117496246 s=[ 0 0 0 0 0 0 1 1 1 0 0 0 1 1 0 0 0 1 1 1 1 1 1 1 > < < > > < < > < < < > < > < ]
7.511117496246 s=[ 0 0 0 0 0 0 1 1 1 0 0 0 1 1 0 0 0 1 1 1 1 1 1 1 > < < > > < < > < < < > < < < ]
7.511117496246 s=[ 0 0 0 0 0 0 1 1 1 0 0 0 1 1 0 0 0 1 1 1 1 1 1 1 > < < > > < < > < < < < < > < ]
7.511117496246 s=[ 0 0 0 0 0 0 1 1 1 0 0 0 1 1 0 0 0 1 1 1 1 1 1 1 > < < > > < < > < < < < < < < ]
7.511117496246 s=[ 0 0 0 0 0 0 1 1 1 0 0 0 1 1 0 0 0 1 1 1 1 1 1 1 > < < > > < < < < > < > < > < ]
7.511117496246 s=[ 0 0 0 0 0 0 1 1 1 0 0 0 1 1 0 0 0 1 1 1 1 1 1 1 > < < > > < < < < > < > < < < ]
7.511117496246 s=[ 0 0 0 0 0 0 1 1 1 0 0 0 1 1 0 0 0 1 1 1 1 1 1 1 > < < > > < < < < > < < < > < ]
7.511117496246 s=[ 0 0 0 0 0 0 1 1 1 0 0 0 1 1 0 0 0 1 1 1 1 1 1 1 > < < > > < < < < > < < < < < ]
7.511117496246 s=[ 0 0 0 0 0 0 1 1 1 0 0 0 1 1 0 0 0 1 1 1 1 1 1 1 > < < > > < < < < < < > < > < ]
7.511117496246 s=[ 0 0 0 0 0 0 1 1 1 0 0 0 1 1 0 0 0 1 1 1 1 1 1 1 > < < > > < < < < < < > < < < ]
7.511117496246 s=[ 0 0 0 0 0 0 1 1 1 0 0 0 1 1 0 0 0 1 1 1 1 1 1 1 > < < > > < < < < < < < < > < ]
7.511117496246 s=[ 0 0 0 0 0 0 1 1 1 0 0 0 1 1 0 0 0 1 1 1 1 1 1 1 > < < > > < < < < < < < < < < ]
7.511117496246 s=[ 0 0 0 0 0 0 1 1 1 0 0 0 1 1 0 0 0 1 1 1 1 1 1 1 > < < > < > < > < > < > < > < ]
7.511117496246 s=[ 0 0 0 0 0 0 1 1 1 0 0 0 1 1 0 0 0 1 1 1 1 1 1 1 > < < > < > < > < > < > < < < ]
7.511117496246 s=[ 0 0 0 0 0 0 1 1 1 0 0 0 1 1 0 0 0 1 1 1 1 1 1 1 > < < > < > < > < > < < < > < ]
