order:    [ 1 20 21 0 36 35 34 38 31 30 37 29 33 26 25 32 24 28 27 23 19 10 11 16 15 22 14 18 17 9 13 2 3 6 5 12 4 8 7 ]
atoms:    [ CA CA C N C CA N HA C CA H N HA C CA H N HA H HA N CA C C CA H N HA H N HA C HA C CA H N HA H ]
residues: [ 0 4 4 0 7 7 7 7 6 6 7 6 6 5 5 6 5 5 5 4 4 2 2 3 3 4 3 3 3 2 2 0 0 1 1 2 1 1 1 ]

We use a different pair of symbles to represent the bits values which are associated with the HA and H of the discretized distance, and another one to represent the bits of other hydrogens.
For the HA and H from the discretized distance:
	"+" means 0
	"-" means 1
For any other hydrogens:
	">" means 0
	"<" means 1

d_27_23=2.342075954274 s=[ 0 0 0 0 0 1 0 > 0 1 < 1 > 0 1 < 0 > + + 0 1 0 0 0 > 1 > < 1 < 0 > 0 0 > 1 > < ]
2.342075954274 s=[ 0 0 0 0 0 1 0 > 0 1 < 1 > 0 1 < 0 > + + 0 1 0 0 0 > 1 > > 1 < 0 > 0 0 > 1 > > ]
2.342075954274 s=[ 0 0 0 0 0 1 0 > 0 1 < 1 > 0 1 < 0 > + + 0 1 0 0 0 > 1 > > 1 < 0 > 0 0 > 1 > < ]
2.342075954274 s=[ 0 0 0 0 0 1 0 > 0 1 < 1 > 0 1 < 0 > + + 0 1 0 0 0 > 1 > < 1 < 0 > 0 0 > 1 > > ]

d_27_23=2.342276154474 s=[ 0 0 0 0 0 1 0 > 0 1 < 1 > 0 1 < 0 > + + 0 1 0 0 0 > 1 > < 1 < 0 > 0 0 > 1 > < ]
2.342276154474 s=[ 0 0 0 0 0 1 0 > 0 1 < 1 > 0 1 < 0 > + + 0 1 0 0 0 > 1 > > 1 < 0 > 0 0 > 1 > > ]
2.342276154474 s=[ 0 0 0 0 0 1 0 > 0 1 < 1 > 0 1 < 0 > + + 0 1 0 0 0 > 1 > > 1 < 0 > 0 0 > 1 > < ]
2.342276154474 s=[ 0 0 0 0 0 1 0 > 0 1 < 1 > 0 1 < 0 > + + 0 1 0 0 0 > 1 > < 1 < 0 > 0 0 > 1 > > ]

d_27_23=2.342476354675 s=[ 0 0 0 0 0 1 0 > 0 1 < 1 > 0 1 < 0 > + + 0 1 0 0 0 > 1 > < 1 < 0 > 0 0 > 1 > < ]
2.342476354675 s=[ 0 0 0 0 0 1 0 > 0 1 < 1 > 0 1 < 0 > + + 0 1 0 0 0 > 1 > > 1 < 0 > 0 0 > 1 > > ]
2.342476354675 s=[ 0 0 0 0 0 1 0 > 0 1 < 1 > 0 1 < 0 > + + 0 1 0 0 0 > 1 > > 1 < 0 > 0 0 > 1 > < ]
2.342476354675 s=[ 0 0 0 0 0 1 0 > 0 1 < 1 > 0 1 < 0 > + + 0 1 0 0 0 > 1 > < 1 < 0 > 0 0 > 1 > > ]

d_27_23=2.342676554875 s=[ 0 0 0 0 0 1 0 > 0 1 < 1 > 0 1 < 0 > + + 0 1 0 0 0 > 1 > < 1 < 0 > 0 0 > 1 > < ]
2.342676554875 s=[ 0 0 0 0 0 1 0 > 0 1 < 1 > 0 1 < 0 > + + 0 1 0 0 0 > 1 > > 1 < 0 > 0 0 > 1 > > ]
2.342676554875 s=[ 0 0 0 0 0 1 0 > 0 1 < 1 > 0 1 < 0 > + + 0 1 0 0 0 > 1 > > 1 < 0 > 0 0 > 1 > < ]
2.342676554875 s=[ 0 0 0 0 0 1 0 > 0 1 < 1 > 0 1 < 0 > + + 0 1 0 0 0 > 1 > < 1 < 0 > 0 0 > 1 > > ]

d_27_23=2.342876755075 s=[ 0 0 0 0 0 1 0 > 0 1 < 1 > 0 1 < 0 > + + 0 1 0 0 0 > 1 > < 1 < 0 > 0 0 > 1 > < ]
2.342876755075 s=[ 0 0 0 0 0 1 0 > 0 1 < 1 > 0 1 < 0 > + + 0 1 0 0 0 > 1 > > 1 < 0 > 0 0 > 1 > > ]
2.342876755075 s=[ 0 0 0 0 0 1 0 > 0 1 < 1 > 0 1 < 0 > + + 0 1 0 0 0 > 1 > > 1 < 0 > 0 0 > 1 > < ]
2.342876755075 s=[ 0 0 0 0 0 1 0 > 0 1 < 1 > 0 1 < 0 > + + 0 1 0 0 0 > 1 > < 1 < 0 > 0 0 > 1 > > ]

d_27_23=2.343076955275 s=[ 0 0 0 0 0 1 0 > 0 1 < 1 > 0 1 < 0 > + + 0 1 0 0 0 > 1 > < 1 < 0 > 0 0 > 1 > < ]
2.343076955275 s=[ 0 0 0 0 0 1 0 > 0 1 < 1 > 0 1 < 0 > + + 0 1 0 0 0 > 1 > > 1 < 0 > 0 0 > 1 > > ]
2.343076955275 s=[ 0 0 0 0 0 1 0 > 0 1 < 1 > 0 1 < 0 > + + 0 1 0 0 0 > 1 > > 1 < 0 > 0 0 > 1 > < ]
2.343076955275 s=[ 0 0 0 0 0 1 0 > 0 1 < 1 > 0 1 < 0 > + + 0 1 0 0 0 > 1 > < 1 < 0 > 0 0 > 1 > > ]

d_27_23=2.343277155475 s=[ 0 0 0 0 0 1 0 > 0 1 < 1 > 0 1 < 0 > + + 0 1 0 0 0 > 1 > < 1 < 0 > 0 0 > 1 > < ]
2.343277155475 s=[ 0 0 0 0 0 1 0 > 0 1 < 1 > 0 1 < 0 > + + 0 1 0 0 0 > 1 > > 1 < 0 > 0 0 > 1 > > ]
2.343277155475 s=[ 0 0 0 0 0 1 0 > 0 1 < 1 > 0 1 < 0 > + + 0 1 0 0 0 > 1 > > 1 < 0 > 0 0 > 1 > < ]
2.343277155475 s=[ 0 0 0 0 0 1 0 > 0 1 < 1 > 0 1 < 0 > + + 0 1 0 0 0 > 1 > < 1 < 0 > 0 0 > 1 > > ]

d_27_23=2.343477355676 s=[ 0 0 0 0 0 1 0 > 0 1 < 1 > 0 1 < 0 > + + 0 1 0 0 0 > 1 > < 1 < 0 > 0 0 > 1 > < ]
2.343477355676 s=[ 0 0 0 0 0 1 0 > 0 1 < 1 > 0 1 < 0 > + + 0 1 0 0 0 > 1 > > 1 < 0 > 0 0 > 1 > > ]
2.343477355676 s=[ 0 0 0 0 0 1 0 > 0 1 < 1 > 0 1 < 0 > + + 0 1 0 0 0 > 1 > > 1 < 0 > 0 0 > 1 > < ]
2.343477355676 s=[ 0 0 0 0 0 1 0 > 0 1 < 1 > 0 1 < 0 > + + 0 1 0 0 0 > 1 > < 1 < 0 > 0 0 > 1 > > ]

d_27_23=2.343677555876 s=[ 0 0 0 0 0 1 0 > 0 1 < 1 > 0 1 < 0 > + + 0 1 0 0 0 > 1 > < 1 < 0 > 0 0 > 1 > < ]
2.343677555876 s=[ 0 0 0 0 0 1 0 > 0 1 < 1 > 0 1 < 0 > + + 0 1 0 0 0 > 1 > > 1 < 0 > 0 0 > 1 > > ]
2.343677555876 s=[ 0 0 0 0 0 1 0 > 0 1 < 1 > 0 1 < 0 > + + 0 1 0 0 0 > 1 > > 1 < 0 > 0 0 > 1 > < ]
2.343677555876 s=[ 0 0 0 0 0 1 0 > 0 1 < 1 > 0 1 < 0 > + + 0 1 0 0 0 > 1 > < 1 < 0 > 0 0 > 1 > > ]

d_27_23=2.343877756076 s=[ 0 0 0 0 0 1 0 > 0 1 < 1 > 0 1 < 0 > + + 0 1 0 0 0 > 1 > < 1 < 0 > 0 0 > 1 > < ]
2.343877756076 s=[ 0 0 0 0 0 1 0 > 0 1 < 1 > 0 1 < 0 > + + 0 1 0 0 0 > 1 > > 1 < 0 > 0 0 > 1 > > ]
2.343877756076 s=[ 0 0 0 0 0 1 0 > 0 1 < 1 > 0 1 < 0 > + + 0 1 0 0 0 > 1 > > 1 < 0 > 0 0 > 1 > < ]
2.343877756076 s=[ 0 0 0 0 0 1 0 > 0 1 < 1 > 0 1 < 0 > + + 0 1 0 0 0 > 1 > < 1 < 0 > 0 0 > 1 > > ]

d_27_23=2.344077956276 s=[ 0 0 0 0 0 1 0 > 0 1 < 1 > 0 1 < 0 > + + 0 1 0 0 0 > 1 > < 1 < 0 > 0 0 > 1 > < ]
2.344077956276 s=[ 0 0 0 0 0 1 0 > 0 1 < 1 > 0 1 < 0 > + + 0 1 0 0 0 > 1 > > 1 < 0 > 0 0 > 1 > > ]
2.344077956276 s=[ 0 0 0 0 0 1 0 > 0 1 < 1 > 0 1 < 0 > + + 0 1 0 0 0 > 1 > > 1 < 0 > 0 0 > 1 > < ]
2.344077956276 s=[ 0 0 0 0 0 1 0 > 0 1 < 1 > 0 1 < 0 > + + 0 1 0 0 0 > 1 > < 1 < 0 > 0 0 > 1 > > ]

d_27_23=2.344278156476 s=[ 0 0 0 0 0 1 0 > 0 1 < 1 > 0 1 < 0 > + + 0 1 0 0 0 > 1 > < 1 < 0 > 0 0 > 1 > < ]
2.344278156476 s=[ 0 0 0 0 0 1 0 > 0 1 < 1 > 0 1 < 0 > + + 0 1 0 0 0 > 1 > > 1 < 0 > 0 0 > 1 > > ]
2.344278156476 s=[ 0 0 0 0 0 1 0 > 0 1 < 1 > 0 1 < 0 > + + 0 1 0 0 0 > 1 > > 1 < 0 > 0 0 > 1 > < ]
2.344278156476 s=[ 0 0 0 0 0 1 0 > 0 1 < 1 > 0 1 < 0 > + + 0 1 0 0 0 > 1 > < 1 < 0 > 0 0 > 1 > > ]

d_27_23=2.344478356677 s=[ 0 0 0 0 0 1 0 > 0 1 < 1 > 0 1 < 0 > + + 0 1 0 0 0 > 1 > < 1 < 0 > 0 0 > 1 > < ]
2.344478356677 s=[ 0 0 0 0 0 1 0 > 0 1 < 1 > 0 1 < 0 > + + 0 1 0 0 0 > 1 > > 1 < 0 > 0 0 > 1 > > ]
2.344478356677 s=[ 0 0 0 0 0 1 0 > 0 1 < 1 > 0 1 < 0 > + + 0 1 0 0 0 > 1 > > 1 < 0 > 0 0 > 1 > < ]
2.344478356677 s=[ 0 0 0 0 0 1 0 > 0 1 < 1 > 0 1 < 0 > + + 0 1 0 0 0 > 1 > < 1 < 0 > 0 0 > 1 > > ]

d_27_23=2.344678556877 s=[ 0 0 0 0 0 1 0 > 0 1 < 1 > 0 1 < 0 > + + 0 1 0 0 0 > 1 > > 1 < 0 > 0 0 > 1 > > ]
